type,file_name
VOICE_BLANK,
VOICE_KICK_EXECUTE,eternal_blizzard.wav
VOICE_KICK_LOW,
VOICE_KICK_HIGH,
VOICE_KICK_DISCHARGE,kicker_discharge.wav
VOICE_CHARGER_START,kicker_charge_start.wav
VOICE_CHARGER_STOP,kicker_charge_stop.wav
VOICE_DRIBBLE_EXECUTE,
VOICE_DRIBBLE_LOW,
VOICE_DRIBBLE_HIGH,
VOICE_MOVE_START,
VOICE_MOVE_STOP,
VOICE_MOVE_LOW,
VOICE_MOVE_HIGH,
VOICE_BALL_CATCH,ball_detection.wav
VOICE_BALL_LOSE,
VOICE_BATTERY_LOW,battery_pinch.wav
VOICE_BATTERY_HIGH,
VOICE_COMM_CONNECT,com_connect.wav
VOICE_COMM_DISCONNECT,com_timeout.wav
